ID; Name; Description; Whitepaper;FB ;Twitter; Github  
43;openZen;Decentralised distributed social network, a search engine and a storage of information;https://docs.google.com/document/d/1rr6jF9IcmX-sCyL-ipIOYfObyHAMV8zCv8BbZdlP0z8/edit;https://facebook.com/openZen;https://twitter.com/JustOpenZen;
44;FUNDCOIN;Ethereum-based smart contract digital token;https://finles.capital/white-paper.pdf;https://www.facebook.com/fundcoins/;https://twitter.com/FundCoins;
45;Seratio Platform;Centre for citizenship, enterprise and governance;https://www.seratio-coins.world/Assets/other/Seratio%20Token%202017-30%20Whitepaper%206.0%20(11%20August%202017)%20[v%206.17].pdf;https://www.facebook.com/TheCCEG/;https://twitter.com/theSERatio;https://github.com/seratio/whitepaper
46;Zloadr;Media publishing platform on the blockchain powered by influencers;http://zloadr.com/whitepaper/whitepaper-en.pdf;https://www.facebook.com/zloadrmedia/;https://twitter.com/zloadr;
47;Multigames;Blockchain-based B2B White Label Online Casino;http://www.multigames.mobi/EN/;;;
48;SENSE;Rewarding Human Capital;https://sensetoken.com/pdfs/sensetoken_whitepaper_en.pdf;https://www.facebook.com/sensaybot/;https://twitter.com/sensay;
49;SmartBillions;Blockchain lottery;http://smartbillions.com/;https://www.facebook.com/smartbns;http://twitter.com/smartbns/;
50;HireMatch;Decentralized Blockchain Employment Marketplace;http://hirematch.io/docs/hirematch-whitepaper.pdf;https://www.facebook.com/hirematchico/;;
51;Synapse;Synapse is creating a decentralized data and machine learning marketplace and exchange;https://s3.amazonaws.com/synapseai/whitepaper/whitepaper.pdf;https://www.facebook.com/groups/synapseai/;https://twitter.com/aisynapse;https://github.com/SynapseOrg
52;Descrow;Decentralized Escrow to control ICO and guarantees financing of startup projects;https://drive.google.com/file/d/0B9bddNN1RiP8ZVhmam5mU1lwN00/view;http://facebook.com/descrow3;http://twitter.com/descrow3;
53;Loci;Patent search process and utilizing unique visualizations;https://locipro.com/wp-content/uploads/2017/08/loci-full-whitepaper.pdf;;https://twitter.com/loci_io;https://github.com/Loci-io
54;MITO;Token based on the DAO IPCI Protocol scaling up green economy and environmental assets trade;https://mito.ipci.io/;https://www.facebook.com/DAOIPCI/;https://twitter.com/DAO_IPCI;https://github.com/DAO-IPCI
55;FairAppToken;Android App Store built on Ethereum;http://fairapptoken.org/wp-content/uploads/2017/09/XFT_WHITEPAPER_ENGLISH.pdf;https://www.facebook.com/fairapptoken/;https://twitter.com/fairapptoken;
56;Token Seven;Decentralized Mining Farm;https://token.kiosk7.net/;;https://twitter.com/token_seven;
57;DigiPulse;Digital asset inheritance simplified;https://www.digipulse.io/whitepaper.pdf;https://www.facebook.com/digipulse.io/;;
58;ATLANT;World’s Real Estate Blockchain Platform;https://atlant.io/assets/documents/en/Atlant_WP_publish.pdf;https://www.facebook.com/Atlant-Real-Estate-Platform-455717934793081/;https://twitter.com/atlantio;
59;Indicoin;Blockchain redefining Social Service;https://www.indicoin.org.in/wp-content/uploads/2017/09/Indicoin-Whitepaper-1.pdf;https://facebook.com/indicoin.crypto;https://twitter.com/Indi_Coin;
60;TokenStars;The first blockchain company to tokenize massive celebrities;https://tokenstars.com/upload/files/ace_by_tokenstars_whitepaper.pdf;https://www.facebook.com/tokenstars;https://twitter.com/tokenstars;
61;Assistive Reality;Series of Augmented Reality apps with the single goal of providing effective Human Assistance;https://github.com/assistivereality/ico/raw/master/whitepaper/Assistive%20Reality%20aronline.io%20Whitepaper%20and%20ICO%20v1.8.pdf;;https://twitter.com/aronline_io;https://github.com/AssistiveReality
62;VALUS;Blockchain-based platform which will connect trademarks, retailers and customers;https://valus.one/whitepaper.pdf;https://www.facebook.com/valus.one/;https://twitter.com/VALUSone;
63;Electroneum;A mobile based cryptocurrency that you can manage and mine via the app;http://electroneum.com/overview-white-paper.pdf;https://facebook.com/electroneum;https://twitter.com/electroneum;
64;NoTraffic;Real-time mobile traffic application;http://www.array.ca/notraffic.html;;;
65;Soferox;Streamlining the Cryptocurrency World;http://www.soferox.com/wp-content/uploads/2017/07/Soferox-White-Paper-V2.pdf;;;
66;ODMCoin;Investment Blockchain Option the Oil and Gas Sector;https://odmcoin.com/assets/files/docs/en/White_papper.pdf;https://www.fb.com/groups/122913815006962/;https://twitter.com/ODMCoin;
67;REALT;Global Airbnb-style marketplace on cryptocurrency and smart contracts;http://realt.uk/Realt-ICO.pdf;https://www.facebook.com/RealtLtd;https://twitter.com/RealtLtd;
68;Fupoof Coin;The coin with profits from the coin will be payout by dividend to the investors;https://fupoofcoin.com/white-paper/;https://www.facebook.com/profile.php?id=100018916381826;https://twitter.com/FupoofCoin;
69;Enjin Coin;Gaming Currency & Virtual Goods Platform;https://enjincoin.io/enjincoin_whitepaper.pdf;https://www.facebook.com/enjinsocial/;https://twitter.com/enjincs;https://github.com/enjin/enjincoin
70;wardZ;Reward token with loyalty options and referral system;http://wardz.cc/whitepaper/wardZ_whitepaper.pdf;https://www.facebook.com/wardZcc/;https://twitter.com/wardZcc;https://github.com/wardzcc
71;Decentralized Loan Collateral;Decentralized lending platform built that connects lenders and borrowers through a smart contract;http://coinequity.io/assets/files/whitepaper.pdf;;https://twitter.com/Coinequity;
72;HomeToken;A tokenized real estate fund, based in Asia's emerging markets;https://drive.google.com/file/d/0B3teHX1CtF4hU1VNYTdmaHg2VGs/view;https://www.facebook.com/hometoken.io/;https://twitter.com/HomeTokenIO;
73;BurstIQ;Solving the security and transparency issues with health data;http://www.burstiq.com/wp-content/uploads/2017/09/BurstIQ-whitepaper_07Sep2017.pdf;https://www.facebook.com/BurstIQ/;https://twitter.com/BurstIQ;
74;Grant Hero;Decentralized non-profit organization that fosters direct giving;http://granthero.ngo/;https://facebook.com/grantheroNGO;https://www.twitter.com/grantheroNGO;
75;ToTheMoon;Provider of full-cycle mining services;https://tothemoonimus.com/sound/white-paper.pdf;https://www.facebook.com/Tothemoonimus-246261305894704;https://twitter.com/ToTheMoonToken;
76;Credit Protocol;A revolutionary platform for creating, storing, and tracking debts and credits;https://blockmason.io/cp-whitepaper/Introduction-amp-Features/;;https://twitter.com/blockmasonio;https://github.com/blockmason
77;Wounded Warrior Coin;Donation coin for the Wounded Warrior Project (SCAM ALERT!!!);http://woundedwarriorcoin.org/;;;
78;HAZZA;The Global Unified Payment Network;https://hazza.network/HAZZA_Whitepaper_v1.0.4.pdf;https://www.facebook.com/HAZZA-127816467849137/;https://twitter.com/Hazza_Network;
79;Mithril Ore;Ethereum backed Cryptocurrency;https://docs.wixstatic.com/ugd/bffbc7_937770430c4b48acbbdde517dfed0645.pdf;https://www.facebook.com/mithrilore/;https://twitter.com/MithrilOre;
